,FIRE_NAME,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,GIS_ACRES,COMPLEX_NAME,Shape__Area,Shape__Length
856,ACACIA,2021-05-29 00:00:00+00:00,2021/05/29 00:00:00+00,2.0,1.0,6.082049,,40184.5859375,1055.99491629512
857,BORDER 9,2021-05-28 00:00:00+00:00,2021/05/31 00:00:00+00,9.0,6.0,15.36915,,87824.921875,1571.35698505607
858,MILE,2021-05-27 00:00:00+00:00,2021/05/28 00:00:00+00,7.0,1.0,507.8524,,3304328.93359375,10016.0029514291
859,GRAHAM,2021-05-27 00:00:00+00:00,2021/05/27 00:00:00+00,2.0,1.0,14.35726,,100359.43359375,1803.09116915186
860,BAKER,2021-05-27 00:00:00+00:00,2021/05/30 00:00:00+00,7.0,1.0,24.94695,,157418.390625,1811.26753170681
861,WINDY RIDGE,2021-05-26 00:00:00+00:00,2021/05/26 00:00:00+00,14.0,1.0,1.663294,,9771.52734375,593.679164675585
862,MOUNTAIN,2021-05-26 00:00:00+00:00,2021/05/26 00:00:00+00,14.0,1.0,15.71013,,95985.24609375,2354.51712339627
863,GROVE,2021-05-26 00:00:00+00:00,2021/05/26 00:00:00+00,14.0,1.0,8.765407,,57675.9453125,1159.54858140673
864,WEST,2021-05-26 00:00:00+00:00,2021/05/26 00:00:00+00,10.0,1.0,2.58838,,17132.08203125,540.475070484937
865,INDEPENDENCE,2021-05-24 00:00:00+00:00,2021/05/24 00:00:00+00,2.0,5.0,1.923519,,11833.21875,434.85278618603
866,FIDDYMENT,2021-05-23 00:00:00+00:00,2021/05/23 00:00:00+00,14.0,5.0,55.11501,,368047.94921875,4411.86091615545
867,LAVAL,2021-05-23 00:00:00+00:00,2021/05/23 00:00:00+00,14.0,1.0,2.929613,,17706.69921875,710.995737396987
868,GIBRALTAR,2021-05-22 00:00:00+00:00,2021/05/27 00:00:00+00,14.0,1.0,25.36633,,151575.2578125,2824.4245645098
869,TOMKI,2021-05-21 00:00:00+00:00,2021/05/24 00:00:00+00,14.0,1.0,18.17299,,123207.02734375,2539.83368808179
870,BELL,2021-05-20 00:00:00+00:00,2021/05/20 00:00:00+00,2.0,1.0,18.61205,,123299.015625,1628.98584384899
871,SETTLERS,2021-05-19 00:00:00+00:00,2021/05/19 00:00:00+00,2.0,1.0,45.35123,,300596.44140625,3378.57539756287
872,WISE,2021-05-19 00:00:00+00:00,2021/05/20 00:00:00+00,11.0,1.0,18.2641,,122304.390625,1544.1133844338
873,HANDLINE,2021-05-18 00:00:00+00:00,2021/05/19 00:00:00+00,14.0,6.0,19.10735,,115522.24609375,3350.8918335464
874,MOODY,2021-05-16 00:00:00+00:00,2021/05/17 00:00:00+00,9.0,1.0,20.24225,,134086.890625,1689.14647117225
875,PALISADES,2021-05-15 00:00:00+00:00,2021/05/21 00:00:00+00,14.0,1.0,1202.648,,7115175.3671875,19990.114323399
876,R-1 ROCK,2021-05-14 00:00:00+00:00,2021/05/18 00:00:00+00,1.0,1.0,12.32582,,87600.671875,1675.7040502342
877,PINE,2021-05-12 00:00:00+00:00,2021/05/14 00:00:00+00,14.0,1.0,441.2523,,2631239.4921875,21430.1348462545
878,QUAIL,2021-05-12 00:00:00+00:00,2021/05/12 00:00:00+00,9.0,1.0,25.35059,,171304.91796875,2361.26221961719
879,BUZZARD,2021-05-11 00:00:00+00:00,2021/05/11 00:00:00+00,2.0,1.0,70.24671,,441414.75390625,3900.18339698117
880,BLUE,2021-05-11 00:00:00+00:00,2021/05/19 00:00:00+00,9.0,1.0,10.4138,,61909.6640625,1285.11258017282
881,TWITCHELL,2021-05-10 00:00:00+00:00,2021/05/10 00:00:00+00,10.0,6.0,8.925045,,53981.66796875,2025.30530440822
882,DRY,2021-05-09 00:00:00+00:00,2021/05/14 00:00:00+00,14.0,6.0,31.50628,,193104.921875,3923.87659188951
883,GREEN,2021-05-08 00:00:00+00:00,2021/05/08 00:00:00+00,5.0,1.0,8.655844,,58145.94140625,1538.64494774089
884,LOPEZ,2021-05-08 00:00:00+00:00,2021/05/11 00:00:00+00,2.0,1.0,55.25064,,361697.53515625,3198.162964173
885,COUNTY,2021-05-08 00:00:00+00:00,2021/05/08 00:00:00+00,11.0,1.0,2.854398,,19001.359375,638.558290400238
886,GUNNISON,2021-05-08 00:00:00+00:00,2021/05/12 00:00:00+00,2.0,1.0,548.9937,,3775210.875,10415.3817753177
887,BROADWAY,2021-05-08 00:00:00+00:00,2021/05/08 00:00:00+00,14.0,4.0,60.39558,,405824.34765625,3771.29337732693
888,IRON,2021-05-06 00:00:00+00:00,2021/05/06 00:00:00+00,9.0,1.0,1.248572,,7645.88671875,327.234329463033
889,CARY,2021-05-06 00:00:00+00:00,2021/05/10 00:00:00+00,14.0,6.0,14.00693,,81929.6796875,1246.00854806436
890,WATTS,2021-05-05 00:00:00+00:00,2021/05/05 00:00:00+00,9.0,1.0,11.88744,,75282.08984375,1546.41663986206
891,HOVEY,2021-05-05 00:00:00+00:00,2021/05/05 00:00:00+00,5.0,1.0,4.767107,,34677.00390625,909.090361278243
892,RANCH,2021-05-05 00:00:00+00:00,2021/05/05 00:00:00+00,5.0,1.0,1.678553,,12076.01171875,594.355545335507
893,CREEK,2021-05-04 00:00:00+00:00,2021/05/04 00:00:00+00,14.0,1.0,31.87381,,186166.9609375,2265.05014434317
894,DEVORE,2021-05-04 00:00:00+00:00,2021/05/04 00:00:00+00,9.0,1.0,13.80691,,82032.84375,2189.94448096519
895,ANTELOPE,2021-05-04 00:00:00+00:00,2021/05/04 00:00:00+00,10.0,1.0,10.67426,,65701.80859375,2707.34082739216
896,SOUTHERN,2021-05-02 00:00:00+00:00,2022/05/06 00:00:00+00,2.0,7.0,5365.902,,30944913.9375,55683.4880261368
897,OWENS,2021-05-01 00:00:00+00:00,2021/05/01 00:00:00+00,9.0,4.0,1390.015,,8548232.640625,30887.3185703978
898,SALMON,2021-05-01 00:00:00+00:00,2021/05/01 00:00:00+00,14.0,1.0,31.73762,,211634.4921875,2540.16888748237
899,COYOTE,2021-04-30 00:00:00+00:00,2021/05/01 00:00:00+00,14.0,3.0,15.35531,,91153.19140625,1334.56958845274
900,WILSON,2021-04-29 00:00:00+00:00,2021/04/29 00:00:00+00,5.0,1.0,1.552339,,10328.9921875,462.634048430491
901,COUNTRY,2021-04-29 00:00:00+00:00,2021/04/30 00:00:00+00,8.0,8.0,26.53975,,157269.921875,1911.35589601021
902,CAMPO,2021-04-29 00:00:00+00:00,2021/05/04 00:00:00+00,5.0,1.0,159.9778,,1050184.47265625,7467.23554404778
903,SKY,2021-04-29 00:00:00+00:00,2021/04/29 00:00:00+00,5.0,1.0,58.34655,,390167.83203125,2873.10910290913
904,VIRGENES,2021-04-29 00:00:00+00:00,2021/04/29 00:00:00+00,14.0,1.0,6.461127,,38272.453125,841.440750299626
905,TULLEY,2021-04-28 00:00:00+00:00,2021/04/30 00:00:00+00,5.0,1.0,62.66148,,416141.93359375,2981.4759968897
906,NORTH,2021-04-28 00:00:00+00:00,2021/04/30 00:00:00+00,14.0,1.0,552.1964,,3295783.60546875,12210.6425154492
907,SCOTTS,2021-04-28 00:00:00+00:00,2021/04/28 00:00:00+00,9.0,1.0,8.720953,,58736.3984375,1454.22631790989
908,VISTA,2021-04-27 00:00:00+00:00,2021/04/27 00:00:00+00,5.0,1.0,5.135205,,31311.63671875,711.194635865395
909,Backus 2,2021-04-25 00:00:00+00:00,2021/04/25 00:00:00+00,14.0,1.0,2.897352,,17495.64453125,777.921871904913
910,LAURIE,2021-04-25 00:00:00+00:00,2021/04/25 00:00:00+00,14.0,6.0,3.041959,,18099.140625,860.799009611013
911,WOLVES,2021-04-22 00:00:00+00:00,2021/04/22 00:00:00+00,18.0,2.0,26.06954,,157404.17578125,1527.87009633814
912,MARY,2021-04-22 00:00:00+00:00,2021/04/22 00:00:00+00,18.0,1.0,4.059574,,29278.5078125,994.964289023491
913,MUNIZ,2021-04-20 00:00:00+00:00,2021/04/20 00:00:00+00,5.0,1.0,2.227886,,14745.203125,521.159267366658
914,GRAPEVINE,2021-04-20 00:00:00+00:00,2021/04/20 00:00:00+00,10.0,1.0,5.185684,,31299.734375,1241.40264961118
915,CERRITO,2021-04-18 00:00:00+00:00,2021/04/18 00:00:00+00,9.0,1.0,1.056455,,7094.75,391.354087458596
916,TURNOUT,2021-04-18 00:00:00+00:00,2021/04/25 00:00:00+00,18.0,1.0,191.6513,,1287947.625,11247.1127669004
917,BACKUS,2021-04-18 00:00:00+00:00,2021/04/19 00:00:00+00,14.0,7.0,26.61396,,160721.03515625,3074.9055033264
918,TURNBULL,2021-04-18 00:00:00+00:00,2021/04/18 00:00:00+00,14.0,1.0,1.467101,,8657.671875,419.574015017645
919,HIGHLINE,2021-04-18 00:00:00+00:00,2021/04/24 00:00:00+00,9.0,7.0,40.42638,,232397.25390625,9509.94293445907
920,FREEWAY,2021-04-17 00:00:00+00:00,2021/04/17 00:00:00+00,10.0,1.0,3.822008,,23087.5,906.824142624756
921,SODA,2021-04-17 00:00:00+00:00,2021/04/17 00:00:00+00,5.0,1.0,1.20866,,8055.453125,389.780737510151
922,SULPHUR,2021-04-17 00:00:00+00:00,2021/04/17 00:00:00+00,14.0,6.0,4.328094,,25764.0234375,586.888652872314
923,WILLOW,2021-04-17 00:00:00+00:00,2021/04/29 00:00:00+00,14.0,7.0,31.76766,,195872.3515625,4721.14744379041
924,RANCH,2021-04-15 00:00:00+00:00,2021/04/15 00:00:00+00,14.0,6.0,1.800984,,10723.0234375,373.758427167464
925,BROWNELL,2021-04-13 00:00:00+00:00,2021/04/13 00:00:00+00,5.0,1.0,4.151186,,30385.9765625,1084.37911362191
926,GREENHORN,2021-04-13 00:00:00+00:00,2021/04/13 00:00:00+00,14.0,6.0,9.6,,66120.296875,1152.33330691357
927,PASO,2021-04-12 00:00:00+00:00,2021/04/13 00:00:00+00,18.0,1.0,26.79597,,154438.8671875,1833.83437015865
928,TRAIL,2021-04-10 00:00:00+00:00,2021/04/10 00:00:00+00,14.0,1.0,8.890034,,54083.41796875,1846.23265017331
929,ONION,2021-04-08 00:00:00+00:00,2021/04/12 00:00:00+00,14.0,1.0,85.5384,,540524.3515625,4859.84627352745
930,SPRINGS,2021-04-05 00:00:00+00:00,2021/04/12 00:00:00+00,14.0,7.0,62.07942,,369774.421875,5370.61891385437
931,CORRAL,2021-04-05 00:00:00+00:00,2021/04/06 00:00:00+00,14.0,1.0,17.29091,,103841.9921875,1313.5958869641
932,MEISS,2021-04-05 00:00:00+00:00,2021/04/05 00:00:00+00,5.0,1.0,21.86377,,159533.55859375,2282.70245243055
933,WESTWOOD,2021-04-04 00:00:00+00:00,2021/04/04 00:00:00+00,14.0,1.0,22.98317,,136646.30078125,1773.00797559522
934,ELK,2021-04-04 00:00:00+00:00,2021/04/13 00:00:00+00,14.0,1.0,45.00793,,327217.46875,4123.70262824409
935,WOODMAN,2021-04-01 00:00:00+00:00,2021/04/01 00:00:00+00,5.0,1.0,24.85209,,175050.3046875,2716.04835943698
936,MADERA 2,2021-04-01 00:00:00+00:00,2021/04/01 00:00:00+00,2.0,4.0,14.21907,,84508.24609375,1480.03350013294
937,LINE,2021-03-28 00:00:00+00:00,2021/03/28 00:00:00+00,5.0,1.0,21.61033,,140340.48046875,1938.25384861516
938,REFUGE,2021-03-27 00:00:00+00:00,2021/03/29 00:00:00+00,18.0,1.0,873.3917,,6392786.796875,12370.0851729225
939,HORSE,2021-03-26 00:00:00+00:00,2021/04/01 00:00:00+00,9.0,6.0,10.61282,,77501.0703125,1051.31612174014
940,CASTLE,2021-03-19 00:00:00+00:00,2021/03/21 00:00:00+00,4.0,7.0,5.136026,,31292.46875,1465.36935441859
941,GRAPEVINE,2021-03-14 00:00:00+00:00,2021/03/20 00:00:00+00,5.0,6.0,86.20689,,530694.5234375,8134.01193761542
942,VIRGINIA,2021-03-05 00:00:00+00:00,2021/03/06 00:00:00+00,14.0,6.0,4.259815,,25313.703125,615.986733993259
943,BOYDEN 1,2021-03-03 00:00:00+00:00,2021/03/18 00:00:00+00,5.0,6.0,14.57344,,92198.8125,1159.94633551739
944,GRANITE INC,2021-03-01 00:00:00+00:00,2021/03/01 00:00:00+00,11.0,1.0,2.381455,,14589.4609375,711.661713465692
945,CALVERT,2021-03-01 00:00:00+00:00,2021/03/01 00:00:00+00,18.0,1.0,257.8323,,1638694.50390625,10145.6694378656
946,KNOLLS,2021-02-28 00:00:00+00:00,2021/02/28 00:00:00+00,14.0,1.0,5.079092,,30009.5234375,1699.60172736577
947,FLAT,2021-02-24 00:00:00+00:00,2021/02/25 00:00:00+00,14.0,7.0,21.96283,,158878.26953125,3837.4313814689
948,FERRIS,2021-02-21 00:00:00+00:00,2021/02/21 00:00:00+00,5.0,7.0,13.79761,,85414.65625,1590.7837224257
949,YUHA,2021-02-20 00:00:00+00:00,2021/03/04 00:00:00+00,14.0,7.0,106.2004,,608553.37890625,3721.15127254019
950,RYE,2021-02-02 00:00:00+00:00,2021/02/02 00:00:00+00,2.0,1.0,1.171693,,6991.0078125,381.443667019439
951,COYOTE,2021-01-21 00:00:00+00:00,2021/01/21 00:00:00+00,5.0,1.0,4.889593,,29889.125,924.468280623843
952,CAMPO,2021-01-20 00:00:00+00:00,2021/01/20 00:00:00+00,14.0,1.0,8.976994,,51492.5625,1402.73120964831
953,COLD,2021-01-19 00:00:00+00:00,2021/01/20 00:00:00+00,5.0,1.0,34.51343,,229683.80859375,2968.48708519717
954,BUTANO,2021-01-19 00:00:00+00:00,2021/01/21 00:00:00+00,1.0,7.0,169.8688,,1086456.98046875,5329.48883138192
955,WOLF,2021-01-19 00:00:00+00:00,2021/01/20 00:00:00+00,14.0,4.0,674.1259,,4074735.62890625,15512.5877966326
956,SPRING,2021-01-19 00:00:00+00:00,2021/01/19 00:00:00+00,5.0,1.0,1.017629,,6736.79296875,334.090964204878
957,CHINA,2021-01-19 00:00:00+00:00,2021/01/21 00:00:00+00,9.0,1.0,21.93688,,140121.828125,2424.06993897226
958,PANTHER RIDGE,2021-01-19 00:00:00+00:00,2021/01/22 00:00:00+00,11.0,1.0,19.72582,,126036.86328125,2212.69514597106
959,FREEDOM,2021-01-19 00:00:00+00:00,2021/01/22 00:00:00+00,11.0,1.0,33.25922,,211295.828125,4130.55440998935
960,SPRINGS,2021-01-19 00:00:00+00:00,2021/01/19 00:00:00+00,14.0,1.0,2.711827,,16191.2109375,602.769807076875
961,TOWSLEY,2021-01-19 00:00:00+00:00,2021/01/22 00:00:00+00,14.0,1.0,183.8866,,1094378.0703125,7867.4514331809
962,ABERNATHY,2021-01-19 00:00:00+00:00,2021/01/26 00:00:00+00,11.0,7.0,373.5444,,2429981.7421875,9041.85524577712
963,MANZANITA,2021-01-19 00:00:00+00:00,2021/01/19 00:00:00+00,5.0,1.0,22.3779,,143206.61328125,2317.68009870289
964,BLOOM,2021-01-19 00:00:00+00:00,2021/01/21 00:00:00+00,9.0,1.0,8.611075,,54969.96484375,1321.45404079025
965,UNION,2021-01-19 00:00:00+00:00,2021/01/20 00:00:00+00,14.0,6.0,20.37977,,136346.03125,1581.75289226179
966,BONNY COMPLEX,2021-01-19 00:00:00+00:00,2021/01/22 00:00:00+00,9.0,7.0,20.30736,BONNY COMPLEX,129374.5859375,2331.54648284773
967,KELLOGG,2021-01-19 00:00:00+00:00,2021/01/19 00:00:00+00,14.0,1.0,12.2616,,72488.9609375,1239.72451905119
968,OLD,2021-01-18 00:00:00+00:00,2021/01/18 00:00:00+00,11.0,1.0,3.873497,,25848.5390625,756.577794001759
969,ADOBE,2021-01-18 00:00:00+00:00,2021/01/18 00:00:00+00,2.0,1.0,1.444209,,8835.58984375,410.66196928125
970,PACIFICO,2021-01-17 00:00:00+00:00,2021/01/17 00:00:00+00,15.0,7.0,2.883715,,17045.55859375,769.721101577619
971,BONITA,2021-01-15 00:00:00+00:00,2021/03/10 00:00:00+00,14.0,6.0,681.1813,,3993626.05859375,21209.4125348169
972,ERBES,2021-01-14 00:00:00+00:00,2021/01/15 00:00:00+00,14.0,8.0,27.63296,,164004.98046875,2622.9066555368
973,BORDER 2,2021-01-13 00:00:00+00:00,2021/01/21 00:00:00+00,5.0,7.0,18.64428,,106607.16796875,1924.43632122754
974,TIFFANY,2021-01-13 00:00:00+00:00,2021/01/13 00:00:00+00,5.0,1.0,2.45159,,14885.60546875,637.879420842883
975,BORDER,2021-01-10 00:00:00+00:00,2021/01/21 00:00:00+00,9.0,7.0,1.850452,,10579.1171875,504.822650768738
976,NEWTON,2021-01-08 00:00:00+00:00,2021/01/08 00:00:00+00,14.0,1.0,2.265879,,13399.23828125,443.870646367217
977,NEWTON,2021-01-08 00:00:00+00:00,2021/01/08 00:00:00+00,14.0,1.0,1.865689,,11034.1484375,782.094252013949
978,MIGUEL 3,2021-01-07 00:00:00+00:00,2021/01/07 00:00:00+00,14.0,4.0,21.31999,,122097.42578125,1645.44525529025
979,LOCUST,2020-12-31 00:00:00+00:00,2020/12/31 00:00:00+00,5.0,1.0,15.85951,,105708.1484375,1604.873417568
980,PITMAN,2020-12-26 00:00:00+00:00,2020/12/26 00:00:00+00,2.0,7.0,39.66626,,235298.96875,3027.95816149703
981,AIRLINE,2020-12-25 00:00:00+00:00,2020/12/25 00:00:00+00,7.0,1.0,62.40783,,388882.09375,5360.40790455591
982,MINE,2020-12-24 00:00:00+00:00,2020/12/24 00:00:00+00,5.0,1.0,11.07413,,77436.8515625,1825.22881031916
983,BANNING,2020-12-20 00:00:00+00:00,2020/12/20 00:00:00+00,11.0,3.0,1.529065,,8908.9140625,466.336693910691
984,CLARK,2020-12-16 00:00:00+00:00,2020/12/16 00:00:00+00,7.0,1.0,18.82918,,113445.00390625,2217.94200818258
985,CANYON,2020-12-13 00:00:00+00:00,2020/12/13 00:00:00+00,11.0,1.0,7.26888,,42854.96484375,1243.21599332351
986,SANDERSON,2020-12-13 00:00:00+00:00,2020/12/14 00:00:00+00,4.0,7.0,1954.651,,11511422.7382812,19690.7828535255
987,PERKIN,2020-12-08 00:00:00+00:00,2020/12/11 00:00:00+00,14.0,7.0,39.82645,,236398.92578125,2695.47456642105
988,HUTTON,2020-12-07 00:00:00+00:00,2020/12/07 00:00:00+00,14.0,1.0,22.70941,,137253.61328125,2046.48609844737
989,BOND,2020-12-03 00:00:00+00:00,2020/12/07 00:00:00+00,14.0,7.0,6681.099,,39200475.4257812,52771.3654774732
990,WILLOWS,2020-12-02 00:00:00+00:00,2020/12/03 00:00:00+00,14.0,1.0,58.15114,,333622.3046875,4342.90269667345
991,WATER,2020-12-02 00:00:00+00:00,2020/12/03 00:00:00+00,14.0,1.0,22.27073,,134343.5703125,2196.95767653307
992,AIRPORT,2020-12-01 00:00:00+00:00,2020/12/13 00:00:00+00,14.0,2.0,1085.7,,6394320.5859375,21111.0757464018
993,GAREY,2020-11-29 00:00:00+00:00,2020/12/01 00:00:00+00,2.0,1.0,12.15279,,73228.81640625,2428.6889848412
994,GULCH,2020-11-27 00:00:00+00:00,2020/12/01 00:00:00+00,4.0,1.0,7.514976,,44508.71484375,1710.15971670335
995,DUTARD,2020-11-23 00:00:00+00:00,2020/11/23 00:00:00+00,14.0,1.0,13.63339,,82188.75,1360.38213832814
996,TWIN,2020-11-23 00:00:00+00:00,2020/11/23 00:00:00+00,5.0,6.0,1.042918,,6863.4609375,353.886045886461
997,CHABLIS,2020-11-22 00:00:00+00:00,2020/11/22 00:00:00+00,8.0,1.0,1.33193,,8848.00390625,519.687445694476
998,LAURA 2,2020-11-17 00:00:00+00:00,2020/11/23 00:00:00+00,14.0,7.0,2729.027,,18876446.0703125,54526.1905550332
999,MOUNTAIN VIEW,2020-11-17 00:00:00+00:00,2020/11/30 00:00:00+00,14.0,2.0,20374.56,,135042607.617188,71386.5560468165
1000,SAN DIMAS,2020-11-06 00:00:00+00:00,2020/11/06 00:00:00+00,7.0,7.0,128.1708,,759180.5546875,3681.25802473587
1001,DAVIS,2020-11-05 00:00:00+00:00,2020/11/05 00:00:00+00,11.0,1.0,1.119542,,6884.1328125,427.005054565401
1002,RESERVOIR,2020-11-02 00:00:00+00:00,2020/11/02 00:00:00+00,8.0,1.0,8.031864,,48884.4921875,1039.3272640531
1003,BITTER,2020-11-01 00:00:00+00:00,2020/11/01 00:00:00+00,10.0,1.0,1.392398,,8399.859375,416.255645035527
1004,BALLARD,2020-10-31 00:00:00+00:00,2020/10/31 00:00:00+00,14.0,1.0,17.29714,,103688.5078125,2112.36366216319
1005,COPPERHEAD,2020-10-26 00:00:00+00:00,2020/10/26 00:00:00+00,2.0,1.0,22.66812,,139948.171875,1915.84854178667
1006,POINT,2020-10-26 00:00:00+00:00,2020/11/05 00:00:00+00,14.0,8.0,93.22421,,625576.89453125,5586.63644554099
1007,BLUE RIDGE,2020-10-26 00:00:00+00:00,2020/11/02 00:00:00+00,14.0,7.0,13694.53,,80671871.3554688,65838.8753839644
1008,SILVERADO,2020-10-26 00:00:00+00:00,2020/11/02 00:00:00+00,14.0,7.0,12469.21,,73125983.4492188,65362.593574509
1009,POINT,2020-10-25 00:00:00+00:00,2020/10/27 00:00:00+00,9.0,1.0,276.6583,,1931390.74609375,9622.19599073764
1010,DERSCH,2020-10-25 00:00:00+00:00,2021/01/25 00:00:00+00,7.0,1.0,133.2995,,933421.05078125,9483.09342367987
1011,REDWOOD,2020-10-23 00:00:00+00:00,2020/10/23 00:00:00+00,2.0,1.0,101.4003,,711099.6328125,3753.85290462705
1012,POPE,2020-10-23 00:00:00+00:00,2020/10/23 00:00:00+00,10.0,6.0,64.28315,,426249.77734375,3286.3262971715
1013,SABODAN,2020-10-20 00:00:00+00:00,2020/10/20 00:00:00+00,14.0,1.0,3.024409,,18291.75390625,752.061437246329
1014,LILAC,2020-10-18 00:00:00+00:00,2020/10/19 00:00:00+00,14.0,1.0,52.84681,,320521.6796875,3232.54810803707
1015,COLEMAN,2020-10-18 00:00:00+00:00,2020/11/15 00:00:00+00,14.0,8.0,562.9138,,3497453.7734375,14566.2435185305
1016,CAMERON FIRE,2020-10-18 00:00:00+00:00,2020/10/18 00:00:00+00,10.0,1.0,14.42604,,95882.97265625,2402.69016742963
1017,BLUE,2020-10-16 00:00:00+00:00,2020/10/20 00:00:00+00,1.0,3.0,5.151273,,30685.8203125,1142.82336347709
1018,GRAND,2020-10-15 00:00:00+00:00,2020/10/20 00:00:00+00,14.0,1.0,31.06108,,211492.52734375,3068.50147021768
1019,SIMPSON,2020-10-15 00:00:00+00:00,2020/10/17 00:00:00+00,14.0,6.0,28.57458,,192491.05859375,1971.42970744968
1020,BRUDER,2020-10-14 00:00:00+00:00,2020/10/15 00:00:00+00,14.0,1.0,169.5485,,1001062.0546875,5739.95944924869
1021,LYONS,2020-10-13 00:00:00+00:00,2020/10/13 00:00:00+00,10.0,6.0,25.58551,,172188.10546875,2419.23386339273
1022,MENTONE,2020-10-12 00:00:00+00:00,2020/10/13 00:00:00+00,10.0,6.0,47.27253,,279545.1015625,3559.13629728543
1023,WAVE,2020-10-10 00:00:00+00:00,2020/10/10 00:00:00+00,14.0,4.0,5.205859,,30752.69921875,1214.28639972654
1024,HUBCAP,2020-10-10 00:00:00+00:00,2020/10/10 00:00:00+00,2.0,6.0,2.017771,,13405.41796875,489.188905436086
1025,QUAIL,2020-10-09 00:00:00+00:00,2020/10/09 00:00:00+00,5.0,1.0,12.85847,,77284.2890625,1617.63837654305
1026,CIRCLE,2020-10-07 00:00:00+00:00,2020/10/08 00:00:00+00,8.0,1.0,32.20207,,200531.37890625,2582.13548687018
1027,CROSS,2020-10-07 00:00:00+00:00,2020/10/07 00:00:00+00,2.0,1.0,24.49597,,151625.8359375,2109.64549140744
1028,FIELDS,2020-10-06 00:00:00+00:00,2020/10/09 00:00:00+00,5.0,1.0,55.32843,,373125.2734375,3143.53099864593
1029,SALT,2020-10-05 00:00:00+00:00,2020/10/05 00:00:00+00,10.0,6.0,86.66375,,576695.59765625,4835.89632302339
1030,DELTA,2020-10-04 00:00:00+00:00,2020/10/04 00:00:00+00,9.0,1.0,7.60073,,46338.1953125,854.73852444023
1031,BACCARAT,2020-10-04 00:00:00+00:00,2020/10/11 00:00:00+00,14.0,2.0,10456.4,,71729594.3398438,48876.5190937764
1032,LAMBERT FIRE,2020-10-04 00:00:00+00:00,2020/10/04 00:00:00+00,9.0,1.0,21.81627,,144216.94921875,1873.86696652343
1033,LYTTON,2020-10-03 00:00:00+00:00,2020/10/03 00:00:00+00,7.0,6.0,1.931224,,12836.86328125,478.242946064642
1034,TULE,2020-10-02 00:00:00+00:00,2020/10/02 00:00:00+00,2.0,1.0,43.19823,,315974.16015625,2626.82527307583
1035,LUCY,2020-10-02 00:00:00+00:00,2020/10/02 00:00:00+00,14.0,6.0,2.138351,,13150.05078125,594.7203897391
1036,COPPER FIRE,2020-09-30 00:00:00+00:00,2020/09/30 00:00:00+00,3.0,1.0,46.58341,,308142.91015625,3134.08453331294
1037,MARTINDALE,2020-09-28 00:00:00+00:00,2020/09/29 00:00:00+00,14.0,3.0,233.3453,,1395509.25,6201.77762494024
1038,WOFFORD ,2020-09-28 00:00:00+00:00,2020/09/28 00:00:00+00,14.0,1.0,5.788857,,35604.8125,788.094357110917
1039,ACTON,2020-09-28 00:00:00+00:00,2020/09/28 00:00:00+00,9.0,1.0,13.84105,,82643.65625,1485.44842318222
1040,PIERCE,2020-09-27 00:00:00+00:00,2020/09/27 00:00:00+00,2.0,1.0,5.636059,,36788.51953125,892.762706096636
1041,GLASS,2020-09-27 00:00:00+00:00,2020/10/20 00:00:00+00,14.0,7.0,67484.41,,447043238.957031,272074.173454487
1042,ZOGG,2020-09-27 00:00:00+00:00,2020/10/13 00:00:00+00,14.0,3.0,56338.05,,393993433.347656,190609.169916148
1043,NO NAME,2020-09-26 00:00:00+00:00,2020/09/26 00:00:00+00,10.0,1.0,3.013402,,18110.921875,777.324041684401
1044,STAGE,2020-09-23 00:00:00+00:00,2020/09/23 00:00:00+00,11.0,6.0,26.56782,,174493.51171875,2879.0217080729
1045,BROWN,2020-09-22 00:00:00+00:00,2020/09/23 00:00:00+00,11.0,1.0,18.3533,,116118.16015625,1399.69305050089
1046,URSULINE,2020-09-21 00:00:00+00:00,2020/09/21 00:00:00+00,2.0,6.0,11.93184,,78948.84765625,1614.56973556699
1047,LUCERNE,2020-09-20 00:00:00+00:00,2020/09/20 00:00:00+00,7.0,1.0,4.12193,,27757.0,1011.52601728426
1048,ORANGE,2020-09-19 00:00:00+00:00,2020/10/06 00:00:00+00,14.0,6.0,35.97919,,212844.7578125,3375.20666325902
1049,GARCES,2020-09-19 00:00:00+00:00,2020/09/19 00:00:00+00,14.0,1.0,10.84567,,66796.203125,1328.69379704804
1050,COUNTRY,2020-09-17 00:00:00+00:00,2020/09/17 00:00:00+00,8.0,6.0,1.016899,,6153.55859375,322.167413910054
1051,SNOW,2020-09-17 00:00:00+00:00,2020/09/24 00:00:00+00,10.0,2.0,6253.439,,36805044.7929688,48686.0783056112
1052,SPRING,2020-09-14 00:00:00+00:00,2020/09/14 00:00:00+00,11.0,6.0,1.290407,,8474.39453125,503.30958886798
1053,RIDGE,2020-09-14 00:00:00+00:00,2021/01/14 00:00:00+00,10.0,1.0,17.10545,,119773.07421875,2050.81824293329
1054,FOX,2020-09-14 00:00:00+00:00,2020/09/28 00:00:00+00,4.0,3.0,2027.554,,14524107.9726562,35565.7575078034
1055,HIGHLAND,2020-09-12 00:00:00+00:00,2020/09/12 00:00:00+00,14.0,1.0,1.15439,,6740.51171875,422.235614514754
1056,PALM,2020-09-11 00:00:00+00:00,2020/09/11 00:00:00+00,14.0,1.0,8.40679,,49643.26953125,935.250203511598
